ITEM,DESCRIP,Gauge,Color
WSJT229SHWA         ,29GA SAPPHIRE BLUE / WASH SMP WSJT2                                                                 ,29,SAPPHIRE BLUE/WASH  
PBEZOC124FROWA      ,24GA FRONTIER / WASH PVDF PBEZOC *1 PC TOPPER*                                                      ,24,FRONTIER/WASH       
636PEAK24GA         ,24GA GALVANIZED 636PEAK                                                                             ,24,GALVANIZED          
CLEAT26LU           ,26GA GALVALUME CLEAT                                                                                ,26,GALVALUME           
HF12W24SBWA         ,24GA SLATE BLUE / WASH SMP HF12 WAVE                                                                ,24,SLATE BLUE/WASH     
CLF29TQWA36         ,"*CUSTOM LENGTH* 29GA TURQUOISE / WASH SMP 36"" FLASHING                                              ",29,TURQUOISE/WASH      
CLF29TQWA30         ,"*CUSTOM LENGTH* 29GA TURQUOISE / WASH SMP 30"" FLASHING                                              ",29,TURQUOISE/WASH      
CLF29TQWA24         ,"*CUSTOM LENGTH* 29GA TURQUOISE / WASH SMP 24"" FLASHING                                              ",29,TURQUOISE/WASH      
CLF29TQWA18         ,"*CUSTOM LENGTH* 29GA TURQUOISE / WASH SMP 18"" FLASHING                                              ",29,TURQUOISE/WASH      
CLF29TQWA15         ,"*CUSTOM LENGTH* 29GA TURQUOISE / WASH SMP 15"" FLASHING                                              ",29,TURQUOISE/WASH      
CLF29TQWA12         ,"*CUSTOM LENGTH* 29GA TURQUOISE / WASH SMP 12"" FLASHING                                              ",29,TURQUOISE/WASH      
CLF29TQWA9          ,"*CUSTOM LENGTH* 29GA TURQUOISE / WASH SMP 9"" FLASHING                                               ",29,TURQUOISE/WASH      
CLF29TQWA6          ,"*CUSTOM LENGTH* 29GA TURQUOISE / WASH SMP 6"" FLASHING                                               ",29,TURQUOISE/WASH      
CLF29TQWA4          ,"*CUSTOM LENGTH* 29GA TURQUOISE / WASH SMP 4"" FLASHING                                               ",29,TURQUOISE/WASH      
PRGT24SPGBK         ,24GA SPRUCE GREEN / BLACK SMP PRGT                                                                  ,24,SPRUCE GREEN/BLACK  
PROEAVE24SPGBK      ,24GA SPRUCE GREEN / BLACK SMP PROEAVE                                                               ,24,SPRUCE GREEN/BLACK  
WSDC26DRWA          ,26GA DARK RED / WASH SMP WSDC                                                                       ,26,DARK RED/WASH       
CF22PWDK30          ,"*30"" CUSTOM* 22GA POLAR WHITE / DARK BROWN SMP FLASHING                                             ",22,DARK BROWN/POLAR WHI
LT1026BWWA          ,26GA BONE WHITE / WASH SMP LT10                                                                     ,26,BONE WHITE/WASH     
